epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,10380.2,0.63391,1.26454,0.43311,0.96928,0.86856,0.75685,0.76797,0.55409,0.84494,0.74302,0.74512,0.49576,0.97724,1.95633,0.90293,1.28496,0.000742815,0.000742815,0.000742815
30,10735.3,0.62859,1.24159,0.42559,0.96641,0.92054,0.70866,0.78988,0.57869,0.88081,0.68302,0.73015,0.51716,0.95821,2.01392,0.85437,1.28999,0.000709809,0.000709809,0.000709809
31,11090.3,0.6144,1.23421,0.41893,0.96339,0.92221,0.6751,0.7577,0.55324,0.83284,0.67462,0.71895,0.49305,0.95758,2.04865,0.90702,1.3021,0.000676802,0.000676802,0.000676802
32,11441.9,0.60159,1.21149,0.41053,0.95631,0.91601,0.72149,0.77948,0.5795,0.92265,0.67494,0.74101,0.51542,0.92471,1.97108,0.87415,1.23959,0.000643795,0.000643795,0.000643795
33,11794.5,0.6051,1.20919,0.41453,0.95639,0.87969,0.70213,0.75869,0.56172,0.85191,0.68523,0.7385,0.51452,1.01845,2.07827,0.89517,1.33211,0.000610789,0.000610789,0.000610789
34,12159.1,0.59306,1.19157,0.39935,0.9536,0.89202,0.7059,0.76394,0.5587,0.86754,0.69537,0.72603,0.49729,0.95701,2.10369,0.91037,1.28248,0.000577782,0.000577782,0.000577782
35,12518,0.5946,1.18408,0.40353,0.95226,0.942,0.64662,0.76781,0.55762,0.91204,0.62968,0.73802,0.50589,0.96112,2.02677,0.89167,1.30611,0.000544776,0.000544776,0.000544776
36,12890.1,0.58736,1.18184,0.39763,0.94699,0.92113,0.63387,0.73282,0.55479,0.91144,0.63011,0.73201,0.48822,0.99379,2.12555,0.99029,1.31448,0.000511769,0.000511769,0.000511769
37,13244.7,0.58315,1.18034,0.38993,0.947,0.87806,0.68449,0.75886,0.56989,0.85308,0.66753,0.73649,0.50371,0.99262,2.10018,0.97476,1.35726,0.000478762,0.000478762,0.000478762
38,13599.8,0.57859,1.1607,0.38611,0.94493,0.89943,0.69094,0.77092,0.57122,0.86041,0.66573,0.73104,0.51143,0.94738,2.10747,0.91147,1.28627,0.000445756,0.000445756,0.000445756
39,13955.8,0.56411,1.15033,0.37917,0.93773,0.87143,0.68722,0.75452,0.55331,0.83506,0.66158,0.71888,0.49573,1.00415,2.15036,0.99049,1.3438,0.000412749,0.000412749,0.000412749
40,14324.4,0.55844,1.13432,0.37222,0.93741,0.95558,0.66038,0.76512,0.55513,0.91649,0.63284,0.71428,0.50126,1.02868,2.18114,0.9693,1.36075,0.000379743,0.000379743,0.000379743
41,14689.9,0.48053,0.99564,0.31272,0.90165,0.93544,0.67269,0.76259,0.55396,0.90567,0.65567,0.73076,0.48836,0.9804,2.2211,0.95806,1.30901,0.000346736,0.000346736,0.000346736
42,15051.6,0.46536,0.97649,0.30323,0.89168,0.86645,0.67407,0.73719,0.53527,0.84791,0.66125,0.69812,0.47804,1.00902,2.30296,1.01022,1.39419,0.000313729,0.000313729,0.000313729
43,15411,0.45565,0.95622,0.29512,0.88592,0.96586,0.66286,0.76047,0.56424,0.92914,0.63829,0.73383,0.49664,1.02535,2.35254,1.02109,1.39785,0.000280723,0.000280723,0.000280723
44,15771,0.44355,0.93573,0.28597,0.8846,0.95056,0.6665,0.7626,0.55623,0.91906,0.64981,0.73773,0.49032,1.01365,2.27139,1.05535,1.40251,0.000247716,0.000247716,0.000247716
45,16130.4,0.4352,0.92634,0.28214,0.87827,0.86898,0.69452,0.7498,0.57311,0.93735,0.63152,0.72253,0.50131,1.01506,2.25975,1.06641,1.43243,0.00021471,0.00021471,0.00021471
46,16489.4,0.42469,0.91567,0.2767,0.87799,0.9031,0.65674,0.75171,0.56175,0.91365,0.66537,0.74439,0.49902,1.01726,2.24517,1.07476,1.40006,0.000181703,0.000181703,0.000181703
47,16848.7,0.41728,0.90474,0.27079,0.8692,0.89164,0.66578,0.73258,0.5502,0.85972,0.64876,0.70809,0.49425,1.04259,2.4103,1.06155,1.49565,0.000148696,0.000148696,0.000148696
48,17215.6,0.41241,0.90186,0.26984,0.8725,0.90206,0.66395,0.74166,0.55554,0.91368,0.66158,0.73122,0.50381,1.02023,2.38281,1.02834,1.47816,0.00011569,0.00011569,0.00011569
1,349.42,1.18007,2.36354,1.61212,1.30714,0.54243,0.64854,0.55739,0.32916,0.63634,0.55672,0.55787,0.31395,1.3426,2.4062,1.73921,1.51361,0.000555037,0.000555037,0.000555037
2,693.333,1.14453,2.16717,1.09701,1.26291,0.73959,0.75575,0.73272,0.49124,0.8017,0.72149,0.75781,0.47865,1.23457,2.09523,1.10762,1.41678,0.00108871,0.00108871,0.00108871
3,1036.92,1.10734,2.09023,0.97009,1.23347,0.78128,0.66814,0.69166,0.4807,0.75714,0.65274,0.69508,0.45539,1.1315,2.08964,1.06046,1.36993,0.00160038,0.00160038,0.00160038
4,1380.17,1.04825,2.0065,0.89099,1.20202,0.8028,0.6702,0.72749,0.51167,0.78601,0.67685,0.70965,0.46473,1.09506,2.09132,0.992,1.34736,0.00156798,0.00156798,0.00156798
5,1723.26,0.98637,1.89396,0.79875,1.16805,0.79554,0.69584,0.75478,0.53573,0.77373,0.67882,0.74026,0.48788,1.13512,2.04795,0.93411,1.37109,0.00153497,0.00153497,0.00153497
6,2066.64,0.94887,1.82125,0.74404,1.13881,0.79124,0.7066,0.71825,0.49991,0.84099,0.65711,0.71147,0.46376,1.09194,2.03448,1.00577,1.3113,0.00150197,0.00150197,0.00150197
7,2409.99,0.90395,1.75096,0.70368,1.12062,0.78761,0.71848,0.71604,0.52283,0.77215,0.70156,0.68546,0.46206,1.00948,2.13374,1.03436,1.281,0.00146896,0.00146896,0.00146896
8,2753.4,0.88375,1.70802,0.67547,1.10443,0.83847,0.71776,0.74389,0.51317,0.8345,0.71356,0.73053,0.48161,1.12992,2.23804,0.90526,1.38919,0.00143595,0.00143595,0.00143595
9,3096.67,0.85882,1.66762,0.64129,1.0884,0.7315,0.68722,0.70457,0.50565,0.73186,0.68722,0.71602,0.47162,1.03505,1.97247,0.95768,1.31191,0.00140295,0.00140295,0.00140295
10,3439.72,0.84359,1.63447,0.62468,1.07814,0.77356,0.68867,0.72729,0.50401,0.77013,0.68456,0.71147,0.47707,1.10261,2.08676,1.00033,1.32915,0.00136994,0.00136994,0.00136994
